index,topic,topic_name,topic0,topic1,topic2,topic3,topic4,topic5,title,category,rating,reviews,link,pop_score,unpop_score,pop_topic0,pop_topic1,pop_topic2,pop_topic3,pop_topic4,pop_topic5,unpop_topic0,unpop_topic1,unpop_topic2,unpop_topic3,unpop_topic4,unpop_topic5,img
208,3,Food,0.08305570483207703,0.014972747303545475,0.3168783485889435,0.41983240842819214,0.1651482731103897,0.0,Hay's Galleria,Shopping,4.0,354.0,/Attraction_Review-g186338-d500061-Reviews-Hay_s_Galleria-London_England.html,0.016123987907009068,0.06752332223886426,0.0013391891803205243,0.00024142039645706987,0.005109342660641129,0.006769372676466661,0.002662848758495355,0.0,0.005608197121152333,0.0010110096409783873,0.02139667884229039,0.02834847900061529,0.011151360062424806,0.0,https://media-cdn.tripadvisor.com/media/photo-o/01/46/0c/e2/hays-galleria.jpg
209,5,Performing arts,0.0,0.0,0.0,0.0,0.0,0.9994606971740724,Savoy Theatre,Concerts & Shows,4.5,2058.0,/Attraction_Review-g186338-d260506-Reviews-Savoy_Theatre-London_England.html,0.10696041977968516,0.012807695569155435,0.0,0.0,0.0,0.0,0.0,0.10690273572303556,0.0,0.0,0.0,0.0,0.0,0.012800788342741369,https://media-cdn.tripadvisor.com/media/photo-o/03/b0/7a/d2/front-of-theatre.jpg
210,3,Food,0.14716099202632904,0.0,0.08603507280349731,0.5831077098846436,0.16991950571537018,0.013503960333764551,Pimlico,Other,4.5,127.0,/Attraction_Review-g186338-d188725-Reviews-Pimlico-London_England.html,0.0063071202696597965,0.21230045101088216,0.0009281620757125037,0.0,0.0005426335515805942,0.0036777304564083392,0.0010717027587079848,8.517110194176827e-05,0.03124234497839849,0.0,0.018265284758936563,0.12379402979643245,0.036073987698919265,0.002866896869291277,https://media-cdn.tripadvisor.com/media/photo-o/01/41/d4/ed/belgrave-road-from-pimlico.jpg
211,3,Food,0.3474564850330353,0.0,0.0,0.4598618745803833,0.14870359003543854,0.043686818331480026,Sloane Square,Other,4.0,151.0,/Attraction_Review-g186338-d188041-Reviews-Sloane_Square-London_England.html,0.006718328294587113,0.15867344390882435,0.002334326734535225,0.0,0.0,0.00308950304359526,0.000999039536441769,0.00029350238769686925,0.055132117088646584,0.0,0.0,0.07296786736203728,0.023595310752528968,0.006931937918075095,https://media-cdn.tripadvisor.com/media/photo-o/01/61/7d/23/sloane-square-december.jpg
212,5,Performing arts,0.017852341756224632,0.0,0.0,0.0,0.0,0.97418874502182,Palace Theatre,Concerts & Shows,4.5,1016.0,/Attraction_Review-g186338-d522871-Reviews-Palace_Theatre-London_England.html,0.05264621051534212,0.026263900331602308,0.0009398581422900344,0.0,0.0,0.0,0.0,0.05128734575209568,0.00046887212457118573,0.0,0.0,0.0,0.0,0.025585996103421813,https://media-cdn.tripadvisor.com/media/photo-o/01/37/bf/d2/palace-theater.jpg
213,5,Performing arts,0.0,0.16270151734352112,0.0,0.0,0.0,0.8368743062019348,The Magic Circle,Museums,4.5,275.0,/Attraction_Review-g186338-d3533244-Reviews-The_Magic_Circle-London_England.html,0.014021614483789135,0.09787589204762644,0.0,0.002281337952118385,0.0,0.0,0.0,0.01173432889295203,0.0,0.015924556147499498,0.0,0.0,0.0,0.08190981925125285,https://media-cdn.tripadvisor.com/media/photo-o/04/09/ab/53/the-magic-circle.jpg
214,0,Traditional sights,0.4042474627494812,0.13915294408798218,0.1925230622291565,0.15868908166885376,0.0,0.1052965447306633,Sipsmith Distillery,Food & Drink,4.5,213.0,/Attraction_Review-g186338-d7909811-Reviews-Sipsmith_Distillery-London_England.html,0.01078986690759982,0.12645662346739156,0.004361776320801819,0.0015014417465100069,0.0020772982180961566,0.0017122340708961704,0.0,0.0011361357034739882,0.05111976918455954,0.01759681145491295,0.02434581638910164,0.020067285448984392,0.0,0.013315445509422841,https://media-cdn.tripadvisor.com/media/photo-o/07/a4/06/f9/stills.jpg
215,2,Walking tours,0.0,0.0,0.9007415771484376,0.09876377135515213,0.0,0.0,Platform 9 3/4,Sights & Landmarks,3.5,874.0,/Attraction_Review-g186338-d2350633-Reviews-Platform_9_3_4-London_England.html,0.03519014027406146,0.023785880043885158,0.0,0.0,0.03169722245053287,0.003475510967983137,0.0,0.0,0.0,0.0,0.021424931104592662,0.0023491832181353487,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-s/02/80/e2/20/filename-100-2952-jpg.jpg
216,5,Performing arts,0.0,0.0,0.26278963685035706,0.2879009246826172,0.0,0.4401096999645233,The O2,Sights & Landmarks,4.0,4930.0,/Attraction_Review-g186338-d1063660-Reviews-The_O2-London_England.html,0.2281451622244617,0.004590492703175098,0.0,0.0,0.05995418433013209,0.06568320316628823,0.0,0.10040889889496536,0.0,0.0,0.0012063339104315981,0.0013216070939929176,0.0,0.0020203203662837264,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/e3/e0/7e/the-o2.jpg
217,3,Food,0.11109545826911926,0.03758015483617783,0.0,0.8417996764183044,0.0,0.0,Burlington Arcade,Shopping,4.5,314.0,/Attraction_Review-g186338-d215371-Reviews-Burlington_Arcade-London_England.html,0.016054487959134032,0.08568048749122675,0.0017835806970960524,0.0006033301433198097,0.0,0.013514662769060591,0.0,0.0,0.009518713022559376,0.0032198859863594997,0.0,0.07212580664547726,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/01/54/dd/03/burlington-arcade.jpg
218,2,Walking tours,0.0,0.12817274034023285,0.5662484169006348,0.0,0.04036380350589752,0.2649843990802765,DreamWork's Tours: Shrek's Adventure! London,Water & Amusement Parks,3.5,3568.0,/Attraction_Review-g186338-d8380002-Reviews-DreamWork_s_Tours_Shrek_s_Adventure_London-London_England.html,0.1444093083596854,0.005642809459036403,0.0,0.018509336783098573,0.08177154224438746,0.0,0.005828908947052906,0.03826621379728959,0.0,0.0007232543515824826,0.0031952319230512905,0.0,0.00022776525222576528,0.0014952564736272613,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/97/61/5e/shrek-s-adventure.jpg
219,2,Walking tours,0.0,0.0329764150083065,0.9379231333732604,0.022440776228904724,0.0,0.0,Tardis Police Box,Sights & Landmarks,4.5,226.0,/Attraction_Review-g186338-d4067788-Reviews-Tardis_Police_Box-London_England.html,0.011467491399381451,0.1191645798743527,0.0,0.00037815675549018825,0.010755625465238764,0.00025733940840040864,0.0,0.0,0.0,0.003929620640227143,0.11176721614286103,0.002674145671371792,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/04/06/44/c9/tardis-police-box.jpg
220,5,Performing arts,0.0,0.0,0.0,0.0,0.0,0.9994968771934508,St. Martins Theatre,Concerts & Shows,4.5,365.0,/Attraction_Review-g186338-d1453247-Reviews-St_Martins_Theatre-London_England.html,0.018712860965354274,0.07366499406632293,0.0,0.0,0.0,0.0,0.0,0.018703446098226818,0.0,0.0,0.0,0.0,0.0,0.07362793152776385,https://media-cdn.tripadvisor.com/media/photo-o/01/84/71/fb/the-moustrap-at-st-martins.jpg
221,1,Art,0.22043399512767792,0.758141815662384,0.021100161597132683,0.0,0.0,0.0,Two Temple Place,Museums,4.5,208.0,/Attraction_Review-g186338-d6580320-Reviews-Two_Temple_Place-London_England.html,0.010529242103068423,0.1295039641701038,0.002321002902445926,0.007982658725569114,0.0002221687098700769,0.0,0.0,0.0,0.028547076206887637,0.09818237053139882,0.002732554571458471,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/05/ca/e7/b0/two-temple-place.jpg
222,3,Food,0.0,0.07328642159700394,0.3796551823616028,0.4470894634723663,0.0,0.0920366868376732,Earl's Court,Other,4.0,211.0,/Attraction_Review-g186338-d188724-Reviews-Earl_s_Court-London_England.html,0.009498326209588676,0.11347398124522495,0.0,0.0006960983390617881,0.00360608876923138,0.004246601568930516,0.0,0.0008741944748339765,0.0,0.008316102029828073,0.043080985042952984,0.050733021393000975,0.0,0.01044376927609077,https://media-cdn.tripadvisor.com/media/photo-o/01/67/b3/41/earls-court-xd.jpg
223,3,Food,0.0,0.0,0.0,0.99610698223114,0.0,0.0,Brixton Village,Shopping,4.5,208.0,/Attraction_Review-g186338-d187542-Reviews-Brixton_Village-London_England.html,0.010529242103068423,0.1295039641701038,0.0,0.0,0.0,0.010488251576468549,0.0,0.0,0.0,0.0,0.0,0.12899980293645175,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0e/09/5a/84/photo0jpg.jpg
224,1,Art,0.0,0.9809811115264891,0.0,0.0,0.0,0.01862436719238758,The Foundling Museum,Museums,4.5,491.0,/Attraction_Review-g186338-d587990-Reviews-The_Foundling_Museum-London_England.html,0.025280606039545468,0.05468088872456768,0.0,0.024799797012736588,0.0,0.0,0.0,0.00047083528972658594,0.0,0.05364091900028267,0.0,0.0,0.0,0.0010183969500124344,https://media-cdn.tripadvisor.com/media/photo-o/15/c9/f0/0d/foundling-museum-exterior.jpg
225,5,Performing arts,0.0,0.0,0.0,0.0,0.0,0.9995489716529846,Noël Coward Theatre,Concerts & Shows,4.5,820.0,/Attraction_Review-g186338-d3836912-Reviews-Noel_Coward_Theatre-London_England.html,0.04242971817771137,0.03261636791577285,0.0,0.0,0.0,0.0,0.0,0.04241058117205735,0.0,0.0,0.0,0.0,0.0,0.03260165700926615,https://media-cdn.tripadvisor.com/media/photo-o/03/e7/21/55/noel-coward-theatre.jpg
226,1,Art,0.3401623368263245,0.6002716422080994,0.0,0.0340157225728035,0.0,0.025296073406934738,Guildhall,Sights & Landmarks,4.5,153.0,/Attraction_Review-g186338-d215445-Reviews-Guildhall-London_England.html,0.007662369253223059,0.17617010316654028,0.002606449430802535,0.004599502974837054,0.0,0.0002606410267680151,0.0,0.00019382785510057023,0.05992643397206501,0.10574991713574942,0.0,0.005992553354935205,0.0,0.004456411861808069,https://media-cdn.tripadvisor.com/media/photo-o/01/0a/7a/ce/guildhall.jpg
227,2,Walking tours,0.040351327508687966,0.018734853714704517,0.5094893574714661,0.284711092710495,0.11731318384408952,0.029400227591395375,Southwark,Other,4.5,129.0,/Attraction_Review-g186338-d285950-Reviews-Southwark-London_England.html,0.006411370191472357,0.2090041223166757,0.00025870729837554053,0.00012011608264805168,0.003266524879364961,0.0018253882129855906,0.000752138249964712,0.00018849574280197545,0.008433593790266059,0.003915661657373129,0.1064853759880108,0.05950579204577869,0.02451893902550875,0.006144768763650103,https://media-cdn.tripadvisor.com/media/photo-o/01/0a/7c/ff/southwark-millennium.jpg
